Id,Date,Species,Block,Street,Trap,TrapType,AddressNumberAndStreet,Latitude,Longitude,NumMosquitos,WnvPresent
1,2007-05-29,CULEX RESTUANS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,1,0
2,2007-05-29,CULEX PIPIENS/RESTUANS,79,W FOSTER AVE,T015,GRAVID,79XX W FOSTER AVE,41.974182874,-87.825240931,1,0
3,2007-05-29,CULEX RESTUANS,79,W FOSTER AVE,T015,GRAVID,79XX W FOSTER AVE,41.974182874,-87.825240931,4,0
4,2007-05-29,CULEX RESTUANS,62,N MANDELL AVE,T007,CDC,62XX N MANDELL AVE,41.995492419,-87.769608945,1,0
5,2007-05-29,CULEX PIPIENS/RESTUANS,65,N OAK PARK AVE,T143,GRAVID,65XX N OAK PARK AVE,,,1,0
6,2007-05-29,CULEX PIPIENS/RESTUANS,75,N OAKLEY AVE,T148,GRAVID,75XX N OAKLEY AVE,42.01780085,-87.687601446,1,0
7,2007-05-29,CULEX RESTUANS,15,N LONG AVE,T153,GRAVID,15XX N LONG AVE,41.909339959,-87.761078282,1,0
8,2007-05-29,CULEX RESTUANS,15,W WEBSTER AVE,T045,GRAVID,15XX W WEBSTER AVE,41.921704574,-87.666963235,2,0
9,2007-05-29,CULEX RESTUANS,25,W GRAND AVE,T046,CDC,25XX W GRAND AVE,41.892219983,-87.691697729,1,0
10,2007-05-29,CULEX RESTUANS,11,W ROOSEVELT RD,T048,GRAVID,11XX W ROOSEVELT RD,41.866915182,-87.654918844,2,0
11,2007-05-29,CULEX PIPIENS/RESTUANS,11,W ROOSEVELT RD,T048,GRAVID,11XX W ROOSEVELT RD,41.866915182,-87.654918844,1,0
12,2007-05-29,CULEX RESTUANS,11,W CHICAGO AVE,T049,GRAVID,11XX W CHICAGO AVE,41.896131093,-87.656762124,1,0
13,2007-05-29,CULEX RESTUANS,22,N CANNON DR,T054,GRAVID,22XX N CANNON DR,41.922512377,-87.63237767,3,0
14,2007-05-29,CULEX PIPIENS/RESTUANS,22,N CANNON DR,T054,GRAVID,22XX N CANNON DR,41.922512377,-87.63237767,2,0
15,2007-05-29,CULEX PIPIENS/RESTUANS,21,N STAVE ST,T050,GRAVID,21XX N STAVE ST,41.919878936,-87.694901815,1,0
16,2007-05-29,CULEX RESTUANS,5,N STREETER DR,T129,GRAVID,5XX N STREETER DR,41.891513022,-87.609784822,2,0
17,2007-05-29,CULEX PIPIENS/RESTUANS,5,N STREETER DR,T129,GRAVID,5XX N STREETER DR,41.891513022,-87.609784822,1,0
18,2007-05-29,CULEX PIPIENS/RESTUANS,22,W ,T086,GRAVID,22XX W 113TH ST,41.68817059,-87.678251676,1,0
19,2007-05-29,CULEX RESTUANS,22,W ,T087,GRAVID,22XX W 113TH ST,41.688192849,-87.676873112,1,0
20,2007-05-29,CULEX RESTUANS,119,S PEORIA ST,T091,GRAVID,119XX S PEORIA ST,41.677032353,-87.644465075,1,0
21,2007-05-29,CULEX RESTUANS,17,W ,T094,GRAVID,17XX W 95TH ST,41.7212875,-87.665235702,3,0
22,2007-05-29,CULEX PIPIENS,2,W ,T096,CDC,2XX W 89TH ST,41.732428064,-87.63105648,1,0
23,2007-05-29,CULEX RESTUANS,2,W ,T096,CDC,2XX W 89TH ST,41.732428064,-87.63105648,5,0
24,2007-05-29,CULEX RESTUANS,89,S CARPENTER ST,T159,GRAVID,89XX S CARPENTER ST,41.731446858,-87.649722253,1,0
25,2007-06-05,CULEX PIPIENS/RESTUANS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,3,0
26,2007-06-05,CULEX RESTUANS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,5,0
27,2007-06-05,CULEX PIPIENS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,1,0
28,2007-06-05,CULEX RESTUANS,91,W HIGGINS RD,T009,CDC,91XX W HIGGINS RD,41.988586396,-87.854473351,2,0
29,2007-06-05,CULEX RESTUANS,36,N PITTSBURGH AVE,T011,GRAVID,36XX N PITTSBURGH AVE,41.945961094,-87.832942473,1,0
30,2007-06-05,CULEX PIPIENS/RESTUANS,79,W FOSTER AVE,T015,GRAVID,79XX W FOSTER AVE,41.974182874,-87.825240931,1,0
31,2007-06-05,CULEX RESTUANS,79,W FOSTER AVE,T015,GRAVID,79XX W FOSTER AVE,41.974182874,-87.825240931,2,0
32,2007-06-05,CULEX RESTUANS,72,N OKETO AVE,T016,GRAVID,72XX N OKETO AVE,42.013029275,-87.811349732,1,0
33,2007-06-05,CULEX RESTUANS,49,W BALMORAL AVE,T025,GRAVID,49XX W BALMORAL AVE,41.979049924,-87.751773965,1,0
34,2007-06-05,CULEX PIPIENS/RESTUANS,53,W AGATITE AVE,T141,GRAVID,53XX W AGATITE AVE,41.961584365,-87.760616703,1,0
35,2007-06-05,CULEX RESTUANS,53,W AGATITE AVE,T141,GRAVID,53XX W AGATITE AVE,41.961584365,-87.760616703,2,0
36,2007-06-05,CULEX RESTUANS,40,N AUSTIN AVE,T142,GRAVID,40XX N AUSTIN AVE,41.953540121,-87.776939042,3,0
37,2007-06-05,CULEX PIPIENS/RESTUANS,40,N AUSTIN AVE,T142,GRAVID,40XX N AUSTIN AVE,41.953540121,-87.776939042,1,0
38,2007-06-05,CULEX RESTUANS,65,N OAK PARK AVE,T143,GRAVID,65XX N OAK PARK AVE,,,9,0
39,2007-06-05,CULEX PIPIENS/RESTUANS,65,N OAK PARK AVE,T143,GRAVID,65XX N OAK PARK AVE,,,2,0
40,2007-06-05,CULEX RESTUANS,37,N KEDVALE AVE,T218,GRAVID,37XX N KEDVALE AVE,41.948500064,-87.730553187,1,0
41,2007-06-05,CULEX PIPIENS/RESTUANS,37,N KEDVALE AVE,T218,GRAVID,37XX N KEDVALE AVE,41.948500064,-87.730553187,2,0
42,2007-06-05,CULEX RESTUANS,38,N CALIFORNIA AVE,T019,GRAVID,38XX N CALIFORNIA AVE,41.95166715,-87.69802789,1,0
43,2007-06-05,CULEX RESTUANS,58,N WESTERN AVE,T028,CDC,58XX N WESTERN AVE,41.987244608,-87.68941677,2,0
44,2007-06-05,CULEX RESTUANS,43,N ASHLAND,T145,GRAVID,43XX N ASHLAND,,,3,0
45,2007-06-05,CULEX PIPIENS/RESTUANS,42,N RICHMOND ST,T146,GRAVID,42XX N RICHMOND ST,41.958005534,-87.702181075,1,0
46,2007-06-05,CULEX RESTUANS,42,N RICHMOND ST,T146,GRAVID,42XX N RICHMOND ST,41.958005534,-87.702181075,2,0
47,2007-06-05,CULEX RESTUANS,28,N FRANCISCO AVE,T147,GRAVID,28XX N FRANCISCO AVE,41.93279021,-87.700237884,1,0
48,2007-06-05,CULEX PIPIENS/RESTUANS,15,W GRANVILLE AVE,T149,GRAVID,15XX W GRANVILLE AVE,41.994555861,-87.669425511,1,0
49,2007-06-05,CULEX RESTUANS,18,W FARWELL AVE,T150,GRAVID,18XX W FARWELL AVE,42.006597859,-87.677866207,2,0
50,2007-06-05,CULEX RESTUANS,45,N CAMPBELL AVE,T220,GRAVID,45XX N CAMPBELL AVE,41.964405454,-87.691370391,1,0
51,2007-06-05,CULEX RESTUANS,14,N HUMBOLDT DR,T033,GRAVID,14XX N HUMBOLDT DR,41.907284873,-87.701394637,3,0
52,2007-06-05,CULEX RESTUANS,70,W ARMITAGE AVE,T151,GRAVID,70XX W ARMITAGE AVE,41.916134719,-87.801092809,10,0
53,2007-06-05,CULEX PIPIENS/RESTUANS,70,W ARMITAGE AVE,T151,GRAVID,70XX W ARMITAGE AVE,41.916134719,-87.801092809,1,0
54,2007-06-05,CULEX RESTUANS,25,S MILLARD AVE,T152,GRAVID,25XX S MILLARD AVE,41.845715402,-87.715898597,1,0
55,2007-06-05,CULEX RESTUANS,21,N LAWLER AVE,T154,GRAVID,21XX N LAWLER AVE,41.92041216,-87.752499467,1,0
56,2007-06-05,CULEX PIPIENS/RESTUANS,15,W WEBSTER AVE,T045,GRAVID,15XX W WEBSTER AVE,41.921704574,-87.666963235,1,0
57,2007-06-05,CULEX PIPIENS,15,W WEBSTER AVE,T045,GRAVID,15XX W WEBSTER AVE,41.921704574,-87.666963235,1,0
58,2007-06-05,CULEX RESTUANS,15,W WEBSTER AVE,T045,GRAVID,15XX W WEBSTER AVE,41.921704574,-87.666963235,2,0
59,2007-06-05,CULEX RESTUANS,25,W GRAND AVE,T046,CDC,25XX W GRAND AVE,41.892219983,-87.691697729,1,0
60,2007-06-05,CULEX RESTUANS,11,W ROOSEVELT RD,T048,GRAVID,11XX W ROOSEVELT RD,41.866915182,-87.654918844,1,0
61,2007-06-05,CULEX PIPIENS/RESTUANS,11,W ROOSEVELT RD,T048,GRAVID,11XX W ROOSEVELT RD,41.866915182,-87.654918844,1,0
62,2007-06-05,CULEX PIPIENS,11,W ROOSEVELT RD,T048,GRAVID,11XX W ROOSEVELT RD,41.866915182,-87.654918844,2,0
63,2007-06-05,CULEX RESTUANS,11,W CHICAGO AVE,T049,GRAVID,11XX W CHICAGO AVE,41.896131093,-87.656762124,2,0
64,2007-06-05,CULEX PIPIENS/RESTUANS,21,N STAVE ST,T050,GRAVID,21XX N STAVE ST,41.919878936,-87.694901815,1,0
65,2007-06-05,CULEX RESTUANS,21,N STAVE ST,T050,GRAVID,21XX N STAVE ST,41.919878936,-87.694901815,1,0
66,2007-06-05,CULEX RESTUANS,22,N CANNON DR,T054,GRAVID,22XX N CANNON DR,41.922512377,-87.63237767,3,0
67,2007-06-05,CULEX RESTUANS,22,W ,T087,GRAVID,22XX W 113TH ST,41.688192849,-87.676873112,4,0
68,2007-06-05,CULEX RESTUANS,104,S VINCENNES AVE,T089,GRAVID,104XX S VINCENNES AVE,41.704338415,-87.657084272,1,0
69,2007-06-05,CULEX RESTUANS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,7,0
70,2007-06-05,CULEX PIPIENS/RESTUANS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,1,0
71,2007-06-05,CULEX PIPIENS/RESTUANS,119,S STATE ST,T092,GRAVID,119XX S STATE ST,41.677447072,-87.622785012,1,0
72,2007-06-05,CULEX PIPIENS/RESTUANS,17,W ,T094,GRAVID,17XX W 95TH ST,41.7212875,-87.665235702,2,0
73,2007-06-05,CULEX PIPIENS/RESTUANS,2,W ,T096,CDC,2XX W 89TH ST,41.732428064,-87.63105648,1,0
74,2007-06-05,CULEX RESTUANS,2,W ,T096,CDC,2XX W 89TH ST,41.732428064,-87.63105648,1,0
75,2007-06-05,CULEX PIPIENS,2,W ,T096,CDC,2XX W 89TH ST,41.732428064,-87.63105648,1,0
76,2007-06-05,CULEX PIPIENS/RESTUANS,4,W ,T135,CDC,4XX W 127TH,,,2,0
77,2007-06-05,CULEX RESTUANS,4,W ,T135,CDC,4XX W 127TH,,,4,0
78,2007-06-05,CULEX PIPIENS,4,W ,T135,CDC,4XX W 127TH,,,1,0
79,2007-06-05,CULEX RESTUANS,15,N LONG AVE,T153,GRAVID,15XX N LONG AVE,41.909339959,-87.761078282,3,0
80,2007-06-05,CULEX RESTUANS,35,W ,T158,GRAVID,35XX W 116TH ST,41.682180403,-87.710091651,8,0
81,2007-06-05,CULEX PIPIENS/RESTUANS,35,W ,T158,GRAVID,35XX W 116TH ST,41.682180403,-87.710091651,3,0
82,2007-06-05,CULEX RESTUANS,89,S CARPENTER ST,T159,GRAVID,89XX S CARPENTER ST,41.731446858,-87.649722253,1,0
83,2007-06-05,CULEX PIPIENS/RESTUANS,93,S DR MARTIN LUTHER KING JR DR,T162,GRAVID,93XX S DR MARTIN LUTHER KING JR DR,41.724033837,-87.614345075,1,0
84,2007-06-29,CULEX PIPIENS/RESTUANS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,2,0
85,2007-06-29,CULEX RESTUANS,60,N AVONDALE AVE,T006,GRAVID,60XX N AVONDALE AVE,41.99023373,-87.797219879,1,0
86,2007-06-29,CULEX PIPIENS/RESTUANS,61,N LEMONT AVE,T012,GRAVID,61XX N LEMONT AVE,41.993564362,-87.745420387,1,0
87,2007-06-29,CULEX RESTUANS,64,W STRONG ST,T014,GRAVID,64XX W STRONG ST,41.970102411,-87.789130645,1,0
88,2007-06-29,CULEX PIPIENS/RESTUANS,79,W FOSTER AVE,T015,GRAVID,79XX W FOSTER AVE,41.974182874,-87.825240931,1,0
89,2007-06-29,CULEX RESTUANS,79,W FOSTER AVE,T015,GRAVID,79XX W FOSTER AVE,41.974182874,-87.825240931,2,0
90,2007-06-29,CULEX PIPIENS/RESTUANS,72,N OKETO AVE,T016,GRAVID,72XX N OKETO AVE,42.013029275,-87.811349732,2,0
91,2007-06-29,CULEX RESTUANS,53,W AGATITE AVE,T141,GRAVID,53XX W AGATITE AVE,41.961584365,-87.760616703,1,0
92,2007-06-29,CULEX RESTUANS,40,N AUSTIN AVE,T142,GRAVID,40XX N AUSTIN AVE,41.953540121,-87.776939042,1,0
93,2007-06-29,CULEX RESTUANS,65,N OAK PARK AVE,T143,GRAVID,65XX N OAK PARK AVE,,,3,0
94,2007-06-29,CULEX PIPIENS/RESTUANS,33,N RUTHERFORD AVE,T144,GRAVID,33XX N RUTHERFORD AVE,41.940781698,-87.794429759,1,0
95,2007-06-29,CULEX RESTUANS,37,N KEDVALE AVE,T218,GRAVID,37XX N KEDVALE AVE,41.948500064,-87.730553187,5,0
96,2007-06-29,CULEX PIPIENS/RESTUANS,61,W FULLERTON AVE,T013,GRAVID,61XX W FULLERTON AVE,41.923887364,-87.778909912,1,0
97,2007-06-29,CULEX RESTUANS,1,N CENTRAL PARK DR,T030,CDC,1XX N CENTRAL PARK DR,41.883771777,-87.716168365,1,0
98,2007-06-29,CULEX PIPIENS/RESTUANS,1,N CENTRAL PARK DR,T030,CDC,1XX N CENTRAL PARK DR,41.883771777,-87.716168365,1,0
99,2007-06-29,CULEX RESTUANS,70,W ARMITAGE AVE,T151,GRAVID,70XX W ARMITAGE AVE,41.916134719,-87.801092809,5,0
100,2007-06-29,CULEX PIPIENS/RESTUANS,70,W ARMITAGE AVE,T151,GRAVID,70XX W ARMITAGE AVE,41.916134719,-87.801092809,1,0
101,2007-06-29,CULEX RESTUANS,15,N LONG AVE,T153,GRAVID,15XX N LONG AVE,41.909339959,-87.761078282,1,0
102,2007-06-29,CULEX PIPIENS,5,S CENTRAL AVE,T167,OVI,5XX S CENTRAL AVE,41.872872862,-87.764736532,1,0
103,2007-06-29,CULEX RESTUANS,12,W GREENLEAF AVE,T018,GRAVID,12XX W GREENLEAF AVE,42.010529289,-87.660845069,1,0
104,2007-06-29,CULEX RESTUANS,58,N WESTERN AVE,T028,CDC,58XX N WESTERN AVE,41.987244608,-87.68941677,1,0
105,2007-06-29,CULEX PIPIENS/RESTUANS,58,N WESTERN AVE,T028,CDC,58XX N WESTERN AVE,41.987244608,-87.68941677,2,0
106,2007-06-29,CULEX RESTUANS,43,N ASHLAND,T145,GRAVID,43XX N ASHLAND,,,1,0
107,2007-06-29,CULEX RESTUANS,42,N RICHMOND ST,T146,GRAVID,42XX N RICHMOND ST,41.958005534,-87.702181075,2,0
108,2007-06-29,CULEX RESTUANS,75,N OAKLEY AVE,T148,GRAVID,75XX N OAKLEY AVE,42.01780085,-87.687601446,2,0
109,2007-06-29,CULEX PIPIENS/RESTUANS,75,N OAKLEY AVE,T148,GRAVID,75XX N OAKLEY AVE,42.01780085,-87.687601446,2,0
110,2007-06-29,CULEX RESTUANS,18,W FARWELL AVE,T150,GRAVID,18XX W FARWELL AVE,42.006597859,-87.677866207,1,0
111,2007-06-29,CULEX PIPIENS/RESTUANS,3,W ,T043,GRAVID,3XX W 18TH ST,41.857837294,-87.635861986,2,0
112,2007-06-29,CULEX RESTUANS,3,W ,T043,GRAVID,3XX W 18TH ST,41.857837294,-87.635861986,3,0
113,2007-06-29,CULEX RESTUANS,25,W GRAND AVE,T046,CDC,25XX W GRAND AVE,41.892219983,-87.691697729,2,0
114,2007-06-29,CULEX PIPIENS/RESTUANS,22,N CANNON DR,T054,GRAVID,22XX N CANNON DR,41.922512377,-87.63237767,3,0
115,2007-06-29,CULEX PIPIENS/RESTUANS,2,E ,T084,GRAVID,2XX E 111TH ST,41.692774012,-87.617366151,1,0
116,2007-06-29,CULEX RESTUANS,2,E ,T084,GRAVID,2XX E 111TH ST,41.692774012,-87.617366151,1,0
117,2007-06-29,CULEX PIPIENS,10,W ,T085,GRAVID,10XX W 95TH ST,41.721479435,-87.650621492,1,0
118,2007-06-29,CULEX PIPIENS/RESTUANS,10,W ,T085,GRAVID,10XX W 95TH ST,41.721479435,-87.650621492,1,0
119,2007-06-29,CULEX PIPIENS,22,W ,T086,GRAVID,22XX W 113TH ST,41.68817059,-87.678251676,1,0
